TRANSACTION_ID,TRANSACTION_DATE,CUSTOMER_ID,PRODUCT_ID,QUANTITY,UNIT_PRICE,DISCOUNT_PERCENT
2001,01-02-2026,101,501,2,299.99,5
2002,01-02-2026,102,502,-3,149.5,0
2003,02-02-2026,103,503,3,89.99,10
2004,02-02-2026,NULL,504,1,599,15
2005,03-02-2026,104,501,1,299.99,0
2006,03-02-2026,105,505,2,,5
2007,04-02-2026,102,506,4,49.99,150
2008,04-02-2026,999,502,2,149.5,10
2009,05-02-2026,107,507,1,999,20
2010,05-02-2026,103,503,0,89.99,0
2011,06-02-2026,108,508,3,79.99,-5
2012,06-02-2026,101,509,1,-449,0
2013,07-02-2026,109,501,2,299.99,10
2014,07-02-2026,104,999,1,1299,25
2015,08-02-2026,110,502,3,149.5,0
2016,,105,503,1,89.99,5
2017,09-02-2026,102,504,2,599,10
2018,09-02-2026,111,505,ABC,199.99,0
2019,10-02-2026,112,506,5,49.99,15
2020,10-02-2026,,507,1,999,0
2021,11-02-2026,101,508,2,79.99,5
2022,11-02-2026,113,509,1,449,10
2023,12-02-2026,107,510,1,1299,20
2024,12-02-2026,114,501,3,299.99,0
2025,13-02-2026,103,502,2,149.5,5
2026,13-02-2026,115,503,4,89.99,0
2027,14-02-2026,108,504,1,599,15
2028,14-02-2026,102,505,2,199.99,10
2029,15-02-2026,116,506,3,49.99,0
2030,15-02-2026,109,507,1,999,5
2031,16-02-2026,104,508,2,79.99,0
2032,16-02-2026,117,509,1,449,0
2033,17-02-2026,110,510,1,1299,30
2034,17-02-2026,101,501,1,299.99,0
2035,18-02-2026,118,502,2,149.5,5
2036,18-02-2026,105,503,3,89.99,10
2037,19-02-2026,111,504,1,599,0
2038,19-02-2026,119,505,2,199.99,5
2039,20-02-2026,106,506,4,49.99,0
2040,20-02-2026,120,507,1,999,15
